title,text,date,source,credibility,label
تامر مرسي يطرح بوستر مسلسل على ربيع «أحسن أب»,طرح المنتج تامر مرسي رئيس مجلس إدارة الشركة المتحدة للخدمات الإعلامية بوستر مسلسل «أحسن أب» الذي يقوم ببطولته الفنان على ربيع، وذلك عبر حسابه الخاص على موقع فيس بوك. وعلق عليه قائلا: «المتحدة بتغير مفهوم دراما رمضان، أحسن أب، دراما كوميدية من 15 حلقة من غير مط ولا تطويل». مسلسل «أحسن أب» هو بطولة على ربيع، وعدد من الفنانين وهو من تأليف محمد المحمدي وأحمد محيي، وإخراج معتز التوني، وهو من نوعية الأعمال الدرامية الـ15 حلقة، التي تشارك فى السباق الرمضاني المقبل. . مسلسل على ربيع ليس العمل الوحيد الـ15 حلقة المشارك فى دراما رمضان، لكن هناك أيضا مسلسل «المدينة»، الذي تشارك فى بطولته دنيا سمير غانم وعمرو وهبه وشيماء سيف واوتاكا ودلال عبدالعزيز، وهو من تأليف هشام جمال وعمرو وهبة وإخراج هشام جمال. يذكر أن آخر الأعمال الدرامية التى قدمها على ربيع كانت مسلسل «عمر ودياب»، الذي شارك فى بطولته بجانب مصطفى خاطر ومحمد محمود ومحسن منصور ونهال عنبر وعدد آخر من الفنانين، وعدد من ضيوف الشرف، والمسلسل تأليف فاروق هاشم، ومصطفى عمر وإخراج معتز التوني.

وعلق عليه قائلا: «المتحدة بتغير مفهوم دراما رمضان، أحسن أب، دراما كوميدية من 15 حلقة من غير مط ولا تطويل».

مسلسل «أحسن أب» هو بطولة على ربيع، وعدد من الفنانين وهو من تأليف محمد المحمدي وأحمد محيي، وإخراج معتز التوني، وهو من نوعية الأعمال الدرامية الـ15 حلقة، التي تشارك فى السباق الرمضاني المقبل.

.

مسلسل على ربيع ليس العمل الوحيد الـ15 حلقة المشارك فى دراما رمضان، لكن هناك أيضا مسلسل «المدينة»، الذي تشارك فى بطولته دنيا سمير غانم وعمرو وهبه وشيماء سيف واوتاكا ودلال عبدالعزيز، وهو من تأليف هشام جمال وعمرو وهبة وإخراج هشام جمال.

"يذكر أن آخر الأعمال الدرامية التى قدمها على ربيع كانت مسلسل «عمر ودياب»، الذي شارك فى بطولته بجانب مصطفى خاطر ومحمد محمود ومحسن منصور ونهال عنبر وعدد آخر من الفنانين، وعدد من ضيوف الشرف، والمسلسل تأليف فاروق هاشم، ومصطفى عمر وإخراج معتز التوني.""",2021-03-03T22:06:20+02:00,source_84,undecided,Suspicious
